iter	Passed	Remaining
0	0	66
1	1	65
2	1	63
3	2	60
4	3	64
5	4	68
6	5	70
7	6	69
8	6	67
9	7	69
10	8	69
11	9	70
12	10	71
13	11	71
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	30	44
41	31	42
42	31	41
43	32	40
44	32	39
45	33	38
46	33	38
47	34	37
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	37	31
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
