iter	Passed	Remaining
0	141	140889
1	142	71193
2	144	48079
3	146	36480
4	149	29792
5	151	25132
6	153	21779
7	155	19267
8	157	17312
9	157	15626
10	158	14276
11	159	13131
12	160	12205
13	161	11358
14	161	10629
15	163	10038
16	164	9524
17	165	9018
18	165	8565
19	166	8165
20	167	7823
21	168	7499
22	169	7203
23	170	6931
24	171	6687
25	172	6453
26	173	6235
27	173	6034
28	174	5840
29	174	5655
30	175	5483
31	176	5326
32	176	5179
33	177	5047
34	178	4920
35	179	4795
36	179	4677
37	180	4565
38	180	4457
39	181	4355
40	181	4256
41	182	4164
42	183	4075
43	183	3990
44	184	3909
45	184	3829
46	185	3754
47	185	3682
48	186	3613
49	186	3546
50	187	3482
51	187	3426
52	188	3369
53	189	3315
54	189	3262
55	190	3211
56	191	3161
57	191	3112
58	192	3067
59	192	3022
60	193	2980
61	194	2937
62	194	2895
63	195	2857
64	196	2819
65	196	2782
66	197	2747
67	198	2714
68	198	2681
69	199	2647
70	199	2614
71	200	2582
72	200	2551
73	201	2522
74	202	2493
75	202	2465
76	203	2438
77	204	2412
78	204	2386
79	205	2361
80	205	2335
81	206	2311
82	206	2285
83	207	2265
84	208	2244
85	209	2223
86	209	2202
87	210	2181
88	211	2160
89	211	2140
90	212	2120
91	212	2101
92	213	2082
93	214	2063
94	214	2045
95	215	2028
96	215	2010
97	216	1993
98	217	1976
99	217	1959
100	218	1943
101	218	1927
102	219	1911
103	220	1897
104	220	1882
105	221	1869
106	222	1855
107	223	1842
108	224	1831
109	224	1818
110	225	1806
111	226	1793
112	226	1779
113	227	1766
114	227	1753
115	228	1740
116	228	1727
117	229	1714
118	229	1701
119	230	1689
120	230	1677
121	231	1664
122	231	1652
123	232	1640
124	232	1629
125	233	1617
126	233	1606
127	234	1595
128	234	1584
129	235	1573
130	235	1563
131	236	1553
132	237	1545
133	238	1538
134	238	1530
135	239	1522
136	240	1513
137	240	1503
138	241	1494
139	241	1485
140	242	1477
141	242	1467
142	243	1458
143	244	1450
144	244	1442
145	245	1434
146	245	1426
147	246	1418
148	246	1409
149	247	1401
150	247	1393
151	248	1385
152	248	1377
153	249	1369
154	249	1361
155	250	1354
156	250	1346
157	251	1339
158	251	1332
159	252	1326
160	253	1318
161	253	1311
162	254	1305
163	254	1298
164	255	1291
165	255	1285
166	256	1278
167	256	1271
168	257	1265
169	257	1259
170	258	1253
171	258	1246
172	259	1240
173	259	1234
174	260	1227
175	260	1221
176	261	1215
177	261	1209
178	262	1203
179	262	1197
180	263	1191
181	263	1185
182	264	1179
183	264	1173
184	265	1168
185	265	1162
186	266	1157
187	266	1151
188	267	1146
189	267	1141
190	268	1136
191	268	1131
192	269	1126
193	269	1121
194	270	1116
195	271	1112
196	271	1107
197	272	1103
198	273	1098
199	273	1095
200	274	1091
201	275	1087
202	275	1083
203	276	1079
204	277	1074
205	277	1070
206	278	1065
207	278	1061
208	279	1057
209	279	1052
210	280	1048
211	280	1044
212	281	1039
213	281	1035
214	282	1031
215	283	1028
216	283	1024
217	284	1020
218	284	1016
219	285	1012
220	286	1008
221	286	1004
222	287	1000
223	287	996
224	288	992
225	288	988
226	289	984
227	289	980
228	289	976
229	290	972
230	290	968
231	291	964
232	291	960
233	292	956
234	292	953
235	293	949
236	293	946
237	294	942
238	294	938
239	295	935
240	295	931
241	296	928
242	296	924
243	297	921
244	298	918
245	298	915
246	299	911
247	299	908
248	300	905
249	300	901
250	301	898
251	301	894
252	301	891
253	302	888
254	302	884
255	303	881
256	303	878
257	304	875
258	304	872
259	305	868
260	305	865
261	306	862
262	306	859
263	307	856
264	307	853
265	308	850
266	308	847
267	309	844
268	309	841
269	309	837
270	310	835
271	310	831
272	311	829
273	311	826
274	312	823
275	313	821
276	313	818
277	314	816
278	314	813
279	315	810
280	315	807
281	316	804
282	316	802
283	317	799
284	317	796
285	318	794
286	318	791
287	319	788
288	319	786
289	320	783
290	320	780
291	320	778
292	321	775
293	322	773
294	322	770
295	323	768
296	323	765
297	324	763
298	324	760
299	325	758
300	325	756
301	326	753
302	326	751
303	327	749
304	327	747
305	328	745
306	329	742
307	329	740
308	330	738
309	330	736
310	331	733
311	331	731
312	332	729
313	332	726
314	333	724
315	333	722
316	334	720
317	334	718
318	335	716
319	336	714
320	336	711
321	337	709
322	337	707
323	338	705
324	338	703
325	339	701
326	339	699
